learning_rate,batch_size,optimizer,precision,recall,f1,roc_auc
0.001,16,SGD,0.6626708066396781,0.6610549943883277,0.60812234903144,0.6767887386955549
0.001,16,Adam,0.789231346223546,0.7867564534231201,0.7784298813710578,0.8462835138848943
0.001,16,RMSprop,0.7992894665017032,0.7991021324354658,0.7935685869280346,0.8487068460465066
0.001,32,SGD,0.5272923735338314,0.6127946127946128,0.4780070711158288,0.48246945536275415
0.001,32,Adam,0.7474111746839018,0.7328843995510662,0.7076240509784814,0.8346408674996537
0.001,32,RMSprop,0.7898983364502836,0.7845117845117845,0.7742382614033052,0.8461343857518722
0.001,64,SGD,0.6777132024052845,0.6778900112233446,0.6778007528163732,0.7215857646545021
0.001,64,Adam,0.7558679019949848,0.7182940516273849,0.6774807891279491,0.8250806889719746
0.001,64,RMSprop,0.7728635365340025,0.7508417508417509,0.7268129325883101,0.832286773399802
0.01,16,SGD,0.7842020117448009,0.7586980920314254,0.7351989794729696,0.846869374407482
0.01,16,Adam,0.813990480461545,0.813692480359147,0.8092072801750221,0.8546400153388937
0.01,16,RMSprop,0.8134569493792794,0.8125701459034792,0.8075967736385317,0.8554495680610147
0.01,32,SGD,0.7485120086912661,0.7037037037037037,0.6535054450285005,0.8137629288765326
0.01,32,Adam,0.8102831861285967,0.8092031425364759,0.8038504705171372,0.8537612245550122
0.01,32,RMSprop,0.8113733783946551,0.8114478114478114,0.8070894105709496,0.8553483739707497
0.01,64,SGD,0.6817380405130327,0.6531986531986532,0.5725484653753752,0.6872543380308695
0.01,64,Adam,0.8024395022052913,0.8035914702581369,0.799688957129904,0.8511514822271222
0.01,64,RMSprop,0.8145163497172867,0.813692480359147,0.8088419109002299,0.8529463458281406
0.1,16,SGD,0.8116441552473539,0.8103254769921436,0.8049068184249972,0.8553430479659988
0.1,16,Adam,0.813990480461545,0.813692480359147,0.8092072801750221,0.8545814292866349
0.1,16,RMSprop,0.8099771193941597,0.797979797979798,0.7864400212162501,0.846126396744746
0.1,32,SGD,0.8018561816434158,0.8024691358024691,0.797903192026709,0.8509064860085855
0.1,32,Adam,0.8005474554494162,0.8024691358024691,0.8001175778953556,0.8563496628638991
0.1,32,RMSprop,0.7944462167050219,0.7957351290684624,0.7948868584914972,0.8443128921270997
0.1,64,SGD,0.7890169784022062,0.7856341189674523,0.7766226628008756,0.8472262167257854
0.1,64,Adam,0.8031862051962554,0.8047138047138047,0.8014342775777133,0.853718616517006
0.1,64,RMSprop,0.8158885294961244,0.8125701459034792,0.8062140493214304,0.8525895035098371
